size,b_nom,d_nom,b,d,area,S_x,I_x,S_y,I_y,CF_bending,CF_comp
1x3,1,3,0.75,2.5,1.875,0.781,0.977,0.23,0.09,unknown,
1x4,1,4,0.75,3.5,2.625,1.531,2.68,0.33,0.12,unknown,
1x6,1,6,0.75,5.5,4.125,3.781,10.398,0.52,0.19,unknown,
1x8,1,8,0.75,7.25,5.4375,6.57,23.817,0.68,0.25,unknown,
1x10,1,10,0.75,9.25,6.9375,10.695,49.466,0.87,0.33,unknown,
1x12,1,12,0.75,11.25,8.4375,15.82,88.989,1.05,0.4,unknown,
2x3,2,3,1.5,2.5,3.75,1.563,1.953,0.94,0.7,1.5,1.15
2x4,2,4,1.5,3.5,5.25,3.063,5.359,1.31,0.98,1.5,1.15
2x5,2,5,1.5,4.5,6.75,5.063,11.391,1.69,1.27,1.4,1.1
2x6,2,6,1.5,5.5,8.25,7.563,20.797,2.06,1.55,1.3,1.1
2x8,2,8,1.5,7.25,10.875,13.141,47.635,2.72,2.04,1.2,1.05
2x10,2,10,1.5,9.25,13.875,21.391,98.932,3.47,2.6,1.1,1
2x12,2,12,1.5,11.25,16.875,31.641,177.979,4.22,3.16,1,1
2x14,2,14,1.5,13.25,19.875,43.891,290.775,4.97,3.73,0.9,0.9
3x4,3,4,2.5,3.5,8.75,5.104,8.932,3.65,4.56,1.5,1.15
3x5,3,5,2.5,4.5,11.25,8.438,18.984,4.69,5.86,1.4,1.15
3x6,3,6,2.5,5.5,13.75,12.604,34.661,5.73,7.16,1.3,1.1
3x8,3,8,2.5,7.25,18.125,21.901,79.391,7.55,9.44,1.2,1.1
3x10,3,10,2.5,9.25,23.125,35.651,164.886,9.64,12.04,1.1,1.05
3x12,3,12,2.5,11.25,28.125,52.734,296.631,11.72,14.65,1,1
3x14,3,14,2.5,13.25,33.125,73.151,484.626,13.8,17.25,0.9,1
3x16,3,16,2.5,15.25,38.125,96.901,738.87,15.89,19.86,0.9,0.9
4x4,4,4,3.5,3.5,12.25,7.146,12.505,7.15,12.51,1.5,1.15
4x5,4,5,3.5,4.5,15.75,11.813,26.578,9.19,16.08,1.4,1.15
4x6,4,6,3.5,5.5,19.25,17.646,48.526,11.23,19.65,1.3,1.1
4x8,4,8,3.5,7.25,25.375,30.661,111.148,14.8,25.9,1.2,1.1
4x10,4,10,3.5,9.25,32.375,49.911,230.84,18.89,33.05,1.1,1.05
4x12,4,12,3.5,11.25,39.375,73.828,415.283,22.97,40.2,1,1
4x14,4,14,3.5,13.25,46.375,102.411,678.476,27.05,47.34,1,1
4x16,4,16,3.5,15.25,53.375,135.661,1034.419,31.14,54.49,1,0.9
5x5,5,5,4.5,4.5,20.25,15.188,34.172,15.19,34.17,1,
6x6,6,6,5.5,5.5,30.25,27.729,76.255,27.73,76.26,1,
6x8,6,8,5.5,7.5,41.25,51.563,193.359,37.81,103.98,1,
6x10,6,10,5.5,9.5,52.25,82.729,392.964,47.9,131.71,1,
6x12,6,12,5.5,11.25,61.875,116.016,652.588,56.72,155.98,1,
6x14,6,14,5.5,13.5,74.25,167.063,1127.672,68.06,187.17,1,
6x16,6,16,5.5,15.5,85.25,220.229,1706.776,78.15,214.9,1,
6x18,6,18,5.5,17.5,96.25,280.729,2456.38,88.23,242.63,1,
6x20,6,20,5.5,19.5,107.25,348.563,3398.484,98.31,270.36,1,
8x8,8,8,7.5,7.5,56.25,70.313,263.672,70.31,263.67,unknown,
8x10,8,10,7.5,9.5,71.25,112.813,535.859,89.06,333.98,unknown,
8x12,8,12,7.5,11.5,86.25,165.313,950.547,107.81,404.3,unknown,
8x14,8,14,7.5,13.5,101.25,227.813,1537.734,126.56,474.61,unknown,
8x16,8,16,7.5,15.5,116.25,300.313,2327.422,145.31,544.92,unknown,
8x18,8,18,7.5,17.5,131.25,382.813,3349.609,164.06,615.23,unknown,
8x20,8,20,7.5,19.5,146.25,475.313,4634.297,182.81,685.55,unknown,
8x22,8,22,7.5,21.5,161.25,577.813,6211.484,201.56,755.86,unknown,
8x24,8,24,7.5,23.5,176.25,690.313,8111.172,220.31,826.17,unknown,
"5.25""x16""",5.25,16,5.25,16,84,224,1792,73.5,192.94,1,
"3.5""x14""",3.5,14,3.5,14,49,114.333,800.333,28.58,50.02,1,
(3)2x4s,4.5,3.5,4.5,3.5,15.75,9.188,16.078,11.81,26.58,1.15,
