species,Type,Fb,Ft,Fv,FcP,Fc,E,Emin,G,SW
Douglas Fir-Larch - Structural Select,Structural Select,1500,1000,180,625,1700,1900000,690000,TBD,40
Douglas Fir-Larch - No. 1 & Btr,No.1 & Btr,1200,800,180,625,1550,1800000,660000,TBD,40
Douglas Fir-Larch - No. 1,No.1,1000,675,180,625,1500,1700000,620000,TBD,40
Douglas Fir-Larch - No.2,No.2,900,575,180,625,1350,1600000,580000,TBD,40
Douglas Fir-Larch - No. 3,No.3,525,325,180,625,775,1400000,510000,TBD,40
Douglas Fir-Larch - Stud,Stud,700,450,180,625,850,1400000,510000,TBD,40
Douglas Fir-Larch - Construction,Construction,1000,650,180,625,1650,1500000,550000,TBD,40
Douglas Fir-Larch - Standard,Standard,575,375,180,625,1400,1400000,510000,TBD,40
Douglas Fir-Larch - Utility,Utility,275,175,180,625,900,1300000,470000,TBD,40
Douglas Fir-South - Structural Select,Structural Select,1350,900,180,520,1600,1400000,510000,TBD,40
Douglas Fir-South - No. 1,No.1,925,600,180,520,1450,1300000,470000,TBD,40
Douglas Fir-South - No.2,No.2,850,525,180,520,1350,1200000,440000,TBD,40
Douglas Fir-South - No. 3,No.3,500,300,180,520,775,1100000,400000,TBD,40
Douglas Fir-South - Stud,Stud,675,425,180,520,850,1100000,400000,TBD,40
Douglas Fir-South - Construction,Construction,975,600,180,520,1650,1200000,440000,TBD,40
Douglas Fir-South - Standard,Standard,550,350,180,520,1400,1100000,400000,TBD,40
Douglas Fir-South - Utility,Utility,250,150,180,520,900,1000000,370000,TBD,40
2.2E LVL,LVL,3400,2425,325,850,3200,2200000,1162600,TBD,40
2.0E LVL,LVL,2800,2400,290,750,3000,2000000,1057000,TBD,40
1.5E LVL,LVL,2250,1500,220,575,1950,1500000,729700,TBD,40
Hem-Fir No. 2,No.2,850,525,150,405,1300,1300000,470000,TBD,40
Spruce-Pine-Fir No. 2,No.2,875,450,135,425,1150,1400000,510000,TBD,40
